articulo,texto,tutela
1,"articulo 1. colombia es un estado social de derecho, organizado en forma de",no
2,"articulo 2. son fines esenciales del estado: servir a la comunidad, promover la",no
3,"articulo 3. la soberania reside exclusivamente en el pueblo, del cual emana el poder",no
4,articulo 4. la constitucion es norma de normas. en todo caso de incompatibilidad,no
5,"articulo 5. el estado reconoce, sin discriminacion alguna, la primacia de los derechos",no
6,articulo 6. los particulares solo son responsables ante las autoridades por infringir la,no
7,articulo 7. el estado reconoce y protege la diversidad etnica y cultural de la nacion,no
8,articulo 8. es obligacion del estado y de las personas proteger las riquezas culturales y,no
9,articulo 9. las relaciones exteriores del estado se fundamentan en la soberania,no
10,articulo 10. el castellano es el idioma oficial de colombia. las lenguas y dialectos de                                        titulo ii                                      capitulo 1,no
11,articulo 11. el derecho a la vida es inviolable. no habra pena de muerte.,no
12,"articulo 12. nadie sera sometido a desaparicion forzada, a torturas ni a tratos o penas",no
13,"articulo 13. todas las personas nacen libres e iguales ante la ley, recibiran la misma",si
14,articulo 14. toda persona tiene derecho al reconocimiento de su personalidad juridica.,no
15,articulo 15. todas las personas tienen derecho a su intimidad personal y familiar y a su,no
16,articulo 16. todas las personas tienen derecho al libre desarrollo de su personalidad,si
17,"articulo 17. se prohiben la esclavitud, la servidumbre y la trata de seres humanos en",no
18,articulo 18. se garantiza la libertad de conciencia. nadie sera molestado por razon de,no
19,articulo 19. se garantiza la libertad de cultos. toda persona tiene derecho a profesar,si
20,articulo 20. se garantiza a toda persona la libertad de expresar y difundir su,no
21,articulo 21. se garantiza el derecho a la honra. la ley senalara la forma de su,si
22,articulo 22. la paz es un derecho y un deber de obligatorio cumplimiento.,no
23,articulo 23. toda persona tiene derecho a presentar peticiones respetuosas a las,si
24,"articulo 24. todo colombiano, con las limitaciones que establezca la ley, tiene derecho",no
25,"articulo 25. el trabajo es un derecho y una obligacion social y goza, en todas sus",no
26,articulo 26. toda persona es libre de escoger profesion u oficio. la ley podra exigir,no
27,"articulo 27. el estado garantiza las libertades de ensenanza, aprendizaje, investigacion",no
28,"articulo 28. toda persona es libre. nadie puede ser molestado en su persona o familia,",no
29,articulo 29. el debido proceso se aplicara a toda clase de actuaciones judiciales y,si
30,"articulo 30. quien estuviere privado de su libertad, y creyere estarlo ilegalmente, tiene",no
31,"articulo 31. toda sentencia judicial podra ser apelada o consultada, salvo las",no
32,articulo 32. el delincuente sorprendido en flagrancia podra ser aprehendido y llevado,no
33,"articulo 33. nadie podra ser obligado a declarar contra si mismo o contra su conyuge,",no
34,"articulo 34. se prohiben las penas de destierro, prision perpetua y confiscacion.",no
35,articulo 35. se prohibe la extradicion de colombianos por nacimiento. no se concedera,no
36,articulo 36. se reconoce el derecho de asilo en los terminos previstos en la ley.,no
37,articulo 37. toda parte del pueblo puede reunirse y manifestarse publica y,no
38,articulo 38. se garantiza el derecho de libre asociacion para el desarrollo de las,no
39,articulo 39. los trabajadores y empleadores tienen derecho a constituir sindicatos o,no
40,"articulo 40. todo ciudadano tiene derecho a participar en la conformacion, ejercicio y",no
41,"articulo 41. en todas las instituciones de educacion, oficiales o privadas, seran                                        capitulo 2",no
42,articulo 42. la familia es el nucleo fundamental de la sociedad. se constituye por,no
43,articulo 43. la mujer y el hombre tienen iguales derechos y oportunidades. la mujer no,no
44,"articulo 44. son derechos fundamentales de los ninos: la vida, la integridad fisica, la",no
45,articulo 45. el adolescente tiene derecho a la proteccion y a la formacion integral.,no
46,"articulo 46. el estado, la sociedad y la familia concurriran para la proteccion y la",no
47,"articulo 47. el estado adelantara una politica de prevision, rehabilitacion e integracion",no
48,articulo 48. la seguridad social es un servicio publico de caracter obligatorio que se,si
49,articulo 49. la atencion de la salud y el saneamiento ambiental son servicios publicos,no
50,articulo 50. todo nino menor de un ano que no este cubierto por algun tipo de,no
51,articulo 51. todos los colombianos tienen derecho a vivienda digna. el estado fijara las,si
52,"articulo 52. se reconoce el derecho de todas las personas a la recreacion, a la practica",si
53,articulo 53. el congreso expedira el estatuto del trabajo. la ley correspondiente tendra,no
54,articulo 54. es obligacion del estado y de los empleadores ofrecer formacion y,no
55,articulo 55. se garantiza el derecho de negociacion colectiva para regular las,no
56,"articulo 56. se garantiza el derecho de huelga, salvo en los servicios publicos",no
57,articulo 57. la ley podra establecer los estimulos y los medios para que los,no
58,articulo 58. se garantizan la propiedad privada y los demas derechos adquiridos con,si
59,"articulo 59. en caso de guerra y solo para atender a sus requerimientos, la necesidad",no
60,"articulo 60. el estado promovera, de acuerdo con la ley, el acceso a la propiedad.",no
61,articulo 61. el estado protegera la propiedad intelectual por el tiempo y mediante las,no
62,"articulo 62. el destino de las donaciones intervivos o testamentarias, hechas conforme",no
63,"articulo 63. los bienes de uso publico, los parques naturales, las tierras comunales de",no
64,articulo 64. es deber del estado promover el acceso progresivo a la propiedad de la,no
65,articulo 65. la produccion de alimentos gozara de la especial proteccion del estado.,no
66,articulo 66. las disposiciones que se dicten en materia crediticia podran reglamentar,no
67,articulo 67. la educacion es un derecho de la persona y un servicio publico que tiene,si
68,articulo 68. los particulares podran fundar establecimientos educativos. la ley,no
69,articulo 69. se garantiza la autonomia universitaria. las universidades podran darse,no
70,articulo 70. el estado tiene el deber de promover y fomentar el acceso a la cultura de,no
71,articulo 71. la busqueda del conocimiento y la expresion artistica son libres. los,no
72,articulo 72. el patrimonio cultural de la nacion esta bajo la proteccion del estado. el,no
73,articulo 73. la actividad periodistica gozara de proteccion para garantizar su libertad e,no
74,articulo 74. todas las personas tienen derecho a acceder a los documentos publicos,no
75,articulo 75. el espectro electromagnetico es un bien publico inenajenable e,no
76,articulo 76. la intervencion estatal en el espectro electromagnetico utilizado para los,no
77,articulo 77. la direccion de la politica que en materia de television determine la ley sin                                      capitulo 3,no
78,articulo 78. la ley regulara el control de calidad de bienes y servicios ofrecidos y,no
79,articulo 79. todas las personas tienen derecho a gozar de un ambiente sano. la ley,si
80,articulo 80. el estado planificara el manejo y aprovechamiento de los recursos,no
81,"articulo 81. queda prohibida la fabricacion, importacion, posesion y uso de armas",no
82,articulo 82. es deber del estado velar por la proteccion de la integridad del espacio                                      capitulo 4,no
83,articulo 83. las actuaciones de los particulares y de las autoridades publicas deberan,no
84,articulo 84. cuando un derecho o una actividad hayan sido reglamentados de manera,no
85,"articulo 85. son de aplicacion inmediata los derechos consagrados en los articulos 11,",no
86,"articulo 86. toda persona tendra accion de tutela para reclamar ante los jueces, en",si
87,articulo 87. toda persona podra acudir ante la autoridad judicial para hacer efectivo el,no
88,articulo 88. la ley regulara las acciones populares para la proteccion de los derechos e,no
89,"articulo 89. ademas de los consagrados en los articulos anteriores, la ley establecera",no
90,articulo 90. el estado respondera patrimonialmente por los danos antijuridicos que le,no
91,articulo 91. en caso de infraccion manifiesta de un precepto constitucional en,no
92,articulo 92. cualquier persona natural o juridica podra solicitar de la autoridad,no
93,"articulo 93. los tratados y convenios internacionales ratificados por el congreso, que",no
94,articulo 94. la enunciacion de los derechos y garantias contenidos en la constitucion y                                         capitulo 5,no
95,articulo 95. la calidad de colombiano enaltece a todos los miembros de la comunidad                                          titulo iii                                         capitulo 1,no
96,articulo 96. son nacionales colombianos:,no
97,"articulo 97. el colombiano, aunque haya renunciado a la calidad de nacional, que                                      capitulo 2",no
98,articulo 98. la ciudadania se pierde de hecho cuando se ha renunciado a la,no
99,articulo 99. la calidad de ciudadano en ejercicio es condicion previa e indispensable                                       capitulo 3,no
100,articulo 100. los extranjeros disfrutaran en colombia de los mismos derechos civiles                                       capitulo 4,no
101,articulo 101. los limites de colombia son los establecidos en los tratados,no
102,"articulo 102. el territorio, con los bienes publicos que de el forman parte, pertenecen a                                         titulo iv                                        capitulo 1",no
103,articulo 103. son mecanismos de participacion del pueblo en ejercicio de su soberania:,no
104,"articulo 104. el presidente de la republica, con la firma de todos los ministros y previo",no
105,articulo 105. previo cumplimiento de los requisitos y formalidades que senale el,no
106,articulo 106. previo el cumplimiento de los requisitos que la ley senale y en los casos                                        capitulo 2,no
107,"articulo 107. se garantiza a todos los nacionales el derecho a fundar, organizar y",no
108,articulo 108. el consejo nacional electoral reconocera personeria juridica a los,no
109,articulo 109. el estado contribuira a la financiacion del funcionamiento y de las,no
110,articulo 110. se prohibe a quienes desempenan funciones publicas hacer contribucion,no
111,articulo 111. los partidos y movimientos politicos con personeria juridica tienen                                      capitulo 3,no
112,articulo 112. los partidos y movimientos politicos que no participen en el gobierno                                         titulo v                                        capitulo 1,no
113,"articulo 113. son ramas del poder publico, la legislativa, la ejecutiva y la judicial.",no
114,"articulo 114. corresponde al congreso de la republica reformar la constitucion, hacer",no
